placeDcid,placeName,Date:Monthly_Count_ElectricityConsumer,Value:Monthly_Count_ElectricityConsumer,Source:Monthly_Count_ElectricityConsumer,Date:Monthly_Average_RetailPrice_Electricity,Value:Monthly_Average_RetailPrice_Electricity,Source:Monthly_Average_RetailPrice_Electricity,Date:Monthly_Generation_Electricity_ElectricPower,Value:Monthly_Generation_Electricity_ElectricPower,Source:Monthly_Generation_Electricity_ElectricPower,Date:Monthly_Generation_Electricity_ElectricUtility,Value:Monthly_Generation_Electricity_ElectricUtility,Source:Monthly_Generation_Electricity_ElectricUtility,Date:Count_HeatEvent,Value:Count_HeatEvent,Source:Count_HeatEvent
geoId/01,Alabama,,,,,,,,,,,,,1996-02,50,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1996-05,14,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1996-07,1,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1996-10,1,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1996-11,2,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1996-12,2,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1997-01,3,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1997-03,6,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1997-07,1,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1997-09,2,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1997-10,1,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1998-06,2,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1998-09,8,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1998-10,3,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1998-11,1,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1998-12,13,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1999-01,6,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1999-02,7,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1999-04,7,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1999-07,1,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1999-08,14,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1999-09,3,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,1999-11,4,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,2000-01,7,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,2000-02,5,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,2000-03,2,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,2000-05,3,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,2000-06,3,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,2000-07,26,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,2000-08,11,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,2000-10,3,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,,,,,,,,,,2000-11,5,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,2001-01,5.54,https://www.eia.gov/opendata/qb.php?category=0,2001-01,10743180000,https://www.eia.gov/opendata/qb.php?category=0,2001-01,10694789000,https://www.eia.gov/opendata/qb.php?category=0,,,
geoId/01,Alabama,,,,2001-02,5.31,https://www.eia.gov/opendata/qb.php?category=0,2001-02,9115013000,https://www.eia.gov/opendata/qb.php?category=0,2001-02,9070282000,https://www.eia.gov/opendata/qb.php?category=0,2001-02,4,https://www.ncdc.noaa.gov/
geoId/01,Alabama,,,,2001-03,5.87,https://www.eia.gov/opendata/qb.php?category=0,2001-03,8875850000,https://www.eia.gov/opendata/qb.php?category=0,2001-03,8829246000,https://www.eia.gov/opendata/qb.php?category=0,,,
